Order ID,Customer ID,Order Date,Product,Quantity,Price
ORD1000,CUST100,2023-01-24,Product B,1,93.37
ORD1000,CUST100,2024-04-08,Product D,1,86.38
ORD1001,CUST101,2023-12-04,Product A,3,24.97
ORD1001,CUST101,2023-10-14,Product C,1,53.71
ORD1002,CUST102,2023-01-03,Product B,5,29.24
ORD1002,CUST102,2023-04-17,Product A,2,46.09
ORD1003,CUST103,2023-09-07,Product C,3,15.28
ORD1003,CUST103,2024-04-15,Product B,4,44.11
ORD1004,CUST104,2024-01-25,Product B,2,98.68
ORD1004,CUST104,2023-12-14,Product C,5,33.87
ORD1005,CUST105,2024-05-05,Product B,2,80.57
ORD1005,CUST105,2023-06-04,Product A,5,50.95
ORD1006,CUST106,2023-07-04,Product C,5,48.07
ORD1006,CUST106,2024-06-20,Product D,4,96.16
ORD1007,CUST107,2024-01-24,Product A,2,99.59
ORD1007,CUST107,2024-09-04,Product A,4,60.02
ORD1008,CUST108,2024-02-18,Product C,4,74.66
ORD1008,CUST108,2024-11-20,Product C,2,23.93
ORD1009,CUST109,2024-10-07,Product B,1,36.7
ORD1009,CUST109,2023-01-22,Product A,1,97.18
ORD1010,CUST110,2023-05-03,Product B,4,62.13
ORD1010,CUST110,2023-02-13,Product A,3,58.8
ORD1011,CUST111,2024-08-21,Product A,4,77.32
ORD1011,CUST111,2024-03-12,Product D,4,15.14
ORD1012,CUST112,2024-04-22,Product A,4,62.58
ORD1012,CUST112,2024-12-22,Product B,1,55.26
ORD1013,CUST113,2023-10-21,Product B,1,86.74
ORD1013,CUST113,2023-09-24,Product D,1,24.17
ORD1014,CUST114,2023-03-15,Product B,4,96.47
ORD1014,CUST114,2024-05-21,Product C,3,17.21
ORD1015,CUST115,2023-11-11,Product D,1,26.72
ORD1015,CUST115,2023-04-27,Product B,2,63.55
ORD1016,CUST116,2023-06-13,Product B,2,70.77
ORD1016,CUST116,2024-02-07,Product C,2,31.17
ORD1017,CUST117,2024-04-21,Product D,5,20.79
ORD1017,CUST117,2024-07-21,Product C,4,90.13
ORD1018,CUST118,2024-03-09,Product D,2,32.16
ORD1018,CUST118,2023-04-24,Product D,4,63.51
ORD1019,CUST119,2024-12-19,Product A,2,65.74
ORD1019,CUST119,2024-10-13,Product B,3,47.73
ORD1020,CUST120,2024-04-05,Product B,4,62.53
ORD1020,CUST120,2024-02-25,Product A,2,57.05
ORD1021,CUST121,2023-02-05,Product C,1,94.12
ORD1021,CUST121,2023-11-14,Product A,4,28.38
ORD1022,CUST122,2023-07-13,Product B,5,74.46
ORD1022,CUST122,2024-09-09,Product B,1,31.48
ORD1023,CUST123,2023-11-24,Product A,1,45.62
ORD1023,CUST123,2023-11-18,Product A,5,70.45
ORD1024,CUST124,2024-11-11,Product A,1,37.0
ORD1024,CUST124,2023-05-14,Product B,1,38.46
